Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.036714268866728024;0.7505910183364386;0.96328573113327198;9.8639119626951377;1.0;-0.19545047964265594;0.14737489795102202;0.14741252228210813;0.32820479009250098;0.035099315297085119;0.7506111789432327;0.9649006847029149;9.8621336160714002;1.0;-0.18937846127551339;0.14707188559182349;0.14710946109117001;0.32752887317389595
2030;1;0.068145643230079905;0.73488380193732661;1.1633949943448993;11.931363062925763;0.75208379582471141;0.044717666759730434;0.14779923853634924;0.14803036777350928;0.32876686231113222;0.067578159692517681;0.73490448881341353;1.1640922538639613;11.928666638277795;0.75298344815953822;0.0020791768911676556;0.14766570286682143;0.14789744198185437;0.32846556814892797
2030;2;0.02809544897320047;0.73298601614942127;1.2142331581545538;12.219915595792592;0.71717885616251587;-0.2678363432491393;0.14465398025760234;0.14478886936117821;0.32194415384765745;0.026556588413410943;0.73303357712940875;1.2161446148999515;12.213624277654294;0.71726024476278039;-0.26740478007665214;0.14432068876255333;0.1444558109715636;0.32119812947198223
2060;3;0.099116027951578964;0.70379675968280708;1.7298577146667033;17.609273792557335;0.41642143521560465;0.5484734394804569;0.14666895513459152;0.14722745167747303;0.32605971432865699;0.088669821399108603;0.70386862223340196;1.7497246927641692;17.600049206100955;0.41193721164464947;-0.43203627474956985;0.14475939716155153;0.14532487618511694;0.32176138672899879
2060;4;0.067407160094007573;0.70159484377160175;1.8059185510375364;18.12155844858264;0.39698025035358098;0.71893144825072586;0.14424569315248614;0.14458121098646212;0.32090083069960718;0.062224976196794117;0.70163054692165105;1.8158090344410054;18.116689138775318;0.39531350564169165;-0.38976517297935054;0.14333905969119329;0.14367882902391443;0.31886407651582249
2060;5;0.066437009608214553;0.7023795318353685;1.805213077381689;17.945708166830986;0.3971526306864423;0.13670882871203993;0.14281238950741557;0.14320477128765266;0.31758054959442727;0.065346922697029991;0.70243730274296157;1.8071387326996031;17.933463902934996;0.39742143961854698;-0.012794556171158433;0.1425398246095215;0.14293476019891158;0.3169640979347888
2060;6;0.014506937888073791;0.70014115141166844;1.9152447338448102;18.48666346820459;0.37188321488293247;0.088212400918585843;0.13812663849955034;0.13836768940977864;0.30735059129407627;0.011493049012852875;0.7002477451572755;1.9209473990908821;18.463904507342715;0.3713472690866908;-0.025662538122173117;0.1374864513953668;0.13772935549648821;0.30591794940368972
2100;7;0.073738796143251836;0.66473264227644824;3.0939285881640757;29.504003283718284;0.17860809550254392;-0.18123007702266491;0.13612990382354848;0.13657123458034642;0.30323939297414759;0.076888060660639815;0.66505904128774229;3.0772306583843383;29.373009242097115;0.18002002902695299;0.57342708544543264;0.13628503677575524;0.13674218071456548;0.30356364676326741
2100;8;0.073702364212091268;0.66176679441577069;3.1798869242377528;30.703081081727071;0.17325165204521703;0.084500729404002328;0.13798314423715041;0.13823371044620844;0.30745757022985798;0.076883999376787235;0.66200624345303927;3.1648489201480916;30.601829643301908;0.17449104289022244;0.66340700385492113;0.13820769871844002;0.13846959744090664;0.30794890563356125
2100;9;0.082089973816317996;0.6624573474170391;3.1411310905279848;30.413443389693047;0.17562839363611424;-0.42176479186055715;0.13843046834329678;0.1387126468932191;0.30841024749135493;0.084179282061785043;0.66262894080465196;3.1313342039972061;30.341867396025904;0.17656735989727515;0.44818289643484555;0.13855359688027352;0.13884433475022248;0.30867338935116212
