Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.00011799384446326717;0.066656596801581564;0.99988200615553668;1.8186128483376602;1.0;-0.0036571536192187004;0.16593025167040262;0.16624325906138865;0.49266826984538464
2030;1;0.0002633808559883611;0.028656018157946953;1.2468757364954777;2.2517668558372206;0.3075913415267304;0.0023851205566360889;0.16198670730071349;0.1639892303134721;0.47544285423186994
2030;2;0.00013122197399423606;0.02774712684796311;1.248451468480543;2.265886605379388;0.30565510455687156;0.0013551584332693878;0.16514289107180435;0.16626600212431528;0.48744948962444962
2060;3;0.00032634910811794919;0.0057060002541327133;1.8890258678801979;3.3813323902631351;0.033158347039180448;0.026231995983705403;0.15637392865826993;0.16069950017875478;0.45482767246199662
2060;4;0.00018455457280877068;0.0051519587966549953;1.9173554898075256;3.4592638956111048;0.030780040834635449;0.016319245177376374;0.16129105296307006;0.16421857988583949;0.47315381521238897
2060;5;0.00018375581874812265;0.0051595339175444449;1.9169144639036919;3.4581179544831593;0.030815465062863156;0.016265147555616366;0.16123059549026281;0.16417788277947457;0.47291427562432714
2060;6;9.6644154583375646e-05;0.0048476026144939344;1.932737427782373;3.505600593831697;0.029574547837479766;0.010454159911121863;0.16462891630119281;0.1665259883466092;0.48589783760496646
2100;7;0.00065521582751762258;0.00075390407053906353;3.1620113849694715;5.6213065552367567;0.0020648498734205118;0.053307939915070435;0.15195366925970163;0.15787935263505262;0.43950749483613066
2100;8;0.00026933891551183381;0.00059362295044922944;3.304390591412028;5.9437615895631328;0.001656718581536561;0.041633209462377252;0.15928087836027208;0.16299912391808671;0.46606565768544084
2100;9;0.00026864696420057446;0.00059469345534876865;3.3031694383588137;5.9412093249676987;0.0016597832189933833;0.041637307195196982;0.15924176445333005;0.16297384913588331;0.46592615837980156
2100;10;0.00012246962467307845;0.00051021937854989685;3.4001147336963435;6.157997579125265;0.0014362755489327713;0.029335348702685948;0.1634487246153413;0.16607275468909893;0.48231058186217141
2100;11;0.00026781133878152715;0.00059623178620874981;3.3010439868658725;5.9373767687965584;0.0016651335483940195;0.041259415538030808;0.15923477660841368;0.16297934609160106;0.46592237744929721
2100;12;0.00012213220627804925;0.00051110240649908964;3.3986160165281047;6.1553219998731912;0.0014394451775787227;0.029176933716090758;0.1634476460437938;0.16608036216793184;0.4823257713387375
2100;13;0.00012175743207261261;0.00051166317334200415;3.3978117694066885;6.1536962065196432;0.0014411495359709415;0.029143646150764368;0.16342842972919186;0.16607038155820714;0.48225946728383789
2100;14;4.3355091896836035e-05;0.00046243071558174073;3.4609458925060581;6.2996506100702554;0.0013144121937215948;0.019070221715766777;0.16641590776301879;0.16838532974719947;0.49454447044280786
2200;15;0.0030524506557324336;6.2849453424195626e-06;10.710896319545606;18.706987311413879;2.8046884462588315e-06;1.9123714630323363;0.13842121322242637;0.15186443470461125;0.40224185918424782
2200;16;0.00043066125320754552;3.000040883555476e-06;12.51477404483953;22.348017683785482;1.287948917679715e-06;0.040697989056148742;0.15315586236767495;0.16115919227207934;0.4494455137084693
2200;17;0.00039683714290554052;3.0360583054958839e-06;12.48604655051834;22.285281061197271;1.3028336099491861e-06;0.045793737398547307;0.15282388490750229;0.1609415475915508;0.44829398540912757
2200;18;0.00026139897778410204;1.9710305699092099e-06;13.695260644137694;24.727755834903189;8.2065797132724148e-07;0.15941365710663291;0.16041751972511623;0.16573586481885061;0.47497318385600573
2200;19;1.0397623678006538e-06;3.0672789236638372e-06;12.47916143382391;22.239524621085231;1.3064316342021127e-06;0.15190210781916846;0.1519229171831401;0.16024212181063338;0.4449360207648318
